IdResultado,CodigoAmostra,DataColeta,NomePonto,TipoPonto,Municipio,Estado,NomeTipoAmostra,NomeParametro,ValorResultado,UnidadeMedida,ValorMinimo,ValorMaximo,ReferenciaNormativa,TemLimiteReferencia,Situacao
1,QA-2024-001,2024-01-10,"ETA Norte - Captação","Captação de Água Bruta","Cuiabá",MT,"Água Bruta",pH,7.2,unidade,5,9,"Referência didática",true,Conforme
2,QA-2024-001,2024-01-10,"ETA Norte - Captação","Captação de Água Bruta","Cuiabá",MT,"Água Bruta",Turbidez,42.5,NTU,,100,"Referência didática",true,Conforme
3,QA-2024-001,2024-01-10,"ETA Norte - Captação","Captação de Água Bruta","Cuiabá",MT,"Água Bruta","Oxigênio Dissolvido",5.8,mg/L,4,,"Referência didática",true,Conforme
4,QA-2024-001,2024-01-10,"ETA Norte - Captação","Captação de Água Bruta","Cuiabá",MT,"Água Bruta",Condutividade,185,µS/cm,,,,false,"Sem limite de referência"
5,QA-2024-002,2024-01-10,"ETA Norte - Saída Tratada","Saída de Água Tratada","Cuiabá",MT,"Água Tratada",pH,7.4,unidade,6,9.5,"Referência didática",true,Conforme
6,QA-2024-002,2024-01-10,"ETA Norte - Saída Tratada","Saída de Água Tratada","Cuiabá",MT,"Água Tratada",Turbidez,1.2,NTU,,5,"Referência didática",true,Conforme
7,QA-2024-002,2024-01-10,"ETA Norte - Saída Tratada","Saída de Água Tratada","Cuiabá",MT,"Água Tratada","Coliformes Termotolerantes",0,NMP/100mL,,0,"Referência didática",true,Conforme
8,QA-2024-002,2024-01-10,"ETA Norte - Saída Tratada","Saída de Água Tratada","Cuiabá",MT,"Água Tratada","Cloro Residual Livre",1.1,mg/L,0.2,5,"Referência didática",true,Conforme
9,QA-2024-003,2024-01-12,"ETE Sul - Entrada","Entrada de Esgoto Bruto","Cuiabá",MT,"Esgoto Bruto",pH,7.1,unidade,,,,false,"Sem limite de referência"
10,QA-2024-003,2024-01-12,"ETE Sul - Entrada","Entrada de Esgoto Bruto","Cuiabá",MT,"Esgoto Bruto",DBO,320,mg/L,,,,false,"Sem limite de referência"
11,QA-2024-003,2024-01-12,"ETE Sul - Entrada","Entrada de Esgoto Bruto","Cuiabá",MT,"Esgoto Bruto",DQO,690,mg/L,,,,false,"Sem limite de referência"
12,QA-2024-003,2024-01-12,"ETE Sul - Entrada","Entrada de Esgoto Bruto","Cuiabá",MT,"Esgoto Bruto","Sólidos Totais",520,mg/L,,,,false,"Sem limite de referência"
13,QA-2024-004,2024-01-12,"ETE Sul - Saída Tratada","Saída de Esgoto Tratado","Cuiabá",MT,"Esgoto Tratado",pH,7.3,unidade,5,9,"Referência didática",true,Conforme
14,QA-2024-004,2024-01-12,"ETE Sul - Saída Tratada","Saída de Esgoto Tratado","Cuiabá",MT,"Esgoto Tratado",DBO,42,mg/L,,60,"Referência didática",true,Conforme
15,QA-2024-004,2024-01-12,"ETE Sul - Saída Tratada","Saída de Esgoto Tratado","Cuiabá",MT,"Esgoto Tratado",DQO,135,mg/L,,180,"Referência didática",true,Conforme
16,QA-2024-004,2024-01-12,"ETE Sul - Saída Tratada","Saída de Esgoto Tratado","Cuiabá",MT,"Esgoto Tratado","Sólidos Totais",110,mg/L,,150,"Referência didática",true,Conforme
17,QA-2024-005,2024-01-15,"Rio Coxipó - Montante","Corpo Hídrico Montante","Cuiabá",MT,"Corpo Hídrico",pH,7,unidade,6,9,"Referência didática",true,Conforme
18,QA-2024-005,2024-01-15,"Rio Coxipó - Montante","Corpo Hídrico Montante","Cuiabá",MT,"Corpo Hídrico","Oxigênio Dissolvido",6.2,mg/L,5,,"Referência didática",true,Conforme
19,QA-2024-005,2024-01-15,"Rio Coxipó - Montante","Corpo Hídrico Montante","Cuiabá",MT,"Corpo Hídrico",DBO,5.5,mg/L,,10,"Referência didática",true,Conforme
20,QA-2024-005,2024-01-15,"Rio Coxipó - Montante","Corpo Hídrico Montante","Cuiabá",MT,"Corpo Hídrico","Coliformes Termotolerantes",420,NMP/100mL,,1000,"Referência didática",true,Conforme
21,QA-2024-006,2024-01-15,"Rio Coxipó - Jusante","Corpo Hídrico Jusante","Cuiabá",MT,"Corpo Hídrico",pH,7.1,unidade,6,9,"Referência didática",true,Conforme
22,QA-2024-006,2024-01-15,"Rio Coxipó - Jusante","Corpo Hídrico Jusante","Cuiabá",MT,"Corpo Hídrico","Oxigênio Dissolvido",5.4,mg/L,5,,"Referência didática",true,Conforme
23,QA-2024-006,2024-01-15,"Rio Coxipó - Jusante","Corpo Hídrico Jusante","Cuiabá",MT,"Corpo Hídrico",DBO,8.7,mg/L,,10,"Referência didática",true,Conforme
24,QA-2024-006,2024-01-15,"Rio Coxipó - Jusante","Corpo Hídrico Jusante","Cuiabá",MT,"Corpo Hídrico","Coliformes Termotolerantes",850,NMP/100mL,,1000,"Referência didática",true,Conforme
25,QA-2024-007,2024-02-10,"ETA Norte - Captação","Captação de Água Bruta","Cuiabá",MT,"Água Bruta",pH,7,unidade,5,9,"Referência didática",true,Conforme
26,QA-2024-007,2024-02-10,"ETA Norte - Captação","Captação de Água Bruta","Cuiabá",MT,"Água Bruta",Turbidez,68,NTU,,100,"Referência didática",true,Conforme
27,QA-2024-007,2024-02-10,"ETA Norte - Captação","Captação de Água Bruta","Cuiabá",MT,"Água Bruta","Oxigênio Dissolvido",5.1,mg/L,4,,"Referência didática",true,Conforme
28,QA-2024-007,2024-02-10,"ETA Norte - Captação","Captação de Água Bruta","Cuiabá",MT,"Água Bruta",Condutividade,210,µS/cm,,,,false,"Sem limite de referência"
29,QA-2024-008,2024-02-10,"ETA Norte - Saída Tratada","Saída de Água Tratada","Cuiabá",MT,"Água Tratada",pH,7.6,unidade,6,9.5,"Referência didática",true,Conforme
30,QA-2024-008,2024-02-10,"ETA Norte - Saída Tratada","Saída de Água Tratada","Cuiabá",MT,"Água Tratada",Turbidez,2.8,NTU,,5,"Referência didática",true,Conforme
31,QA-2024-008,2024-02-10,"ETA Norte - Saída Tratada","Saída de Água Tratada","Cuiabá",MT,"Água Tratada","Coliformes Termotolerantes",0,NMP/100mL,,0,"Referência didática",true,Conforme
32,QA-2024-008,2024-02-10,"ETA Norte - Saída Tratada","Saída de Água Tratada","Cuiabá",MT,"Água Tratada","Cloro Residual Livre",0.9,mg/L,0.2,5,"Referência didática",true,Conforme
33,QA-2024-009,2024-02-13,"ETE Sul - Entrada","Entrada de Esgoto Bruto","Cuiabá",MT,"Esgoto Bruto",pH,7.2,unidade,,,,false,"Sem limite de referência"
34,QA-2024-009,2024-02-13,"ETE Sul - Entrada","Entrada de Esgoto Bruto","Cuiabá",MT,"Esgoto Bruto",DBO,360,mg/L,,,,false,"Sem limite de referência"
35,QA-2024-009,2024-02-13,"ETE Sul - Entrada","Entrada de Esgoto Bruto","Cuiabá",MT,"Esgoto Bruto",DQO,720,mg/L,,,,false,"Sem limite de referência"
36,QA-2024-009,2024-02-13,"ETE Sul - Entrada","Entrada de Esgoto Bruto","Cuiabá",MT,"Esgoto Bruto","Sólidos Totais",580,mg/L,,,,false,"Sem limite de referência"
37,QA-2024-010,2024-02-13,"ETE Sul - Saída Tratada","Saída de Esgoto Tratado","Cuiabá",MT,"Esgoto Tratado",pH,7.4,unidade,5,9,"Referência didática",true,Conforme
38,QA-2024-010,2024-02-13,"ETE Sul - Saída Tratada","Saída de Esgoto Tratado","Cuiabá",MT,"Esgoto Tratado",DBO,72,mg/L,,60,"Referência didática",true,"Acima do limite máximo"
39,QA-2024-010,2024-02-13,"ETE Sul - Saída Tratada","Saída de Esgoto Tratado","Cuiabá",MT,"Esgoto Tratado",DQO,190,mg/L,,180,"Referência didática",true,"Acima do limite máximo"
40,QA-2024-010,2024-02-13,"ETE Sul - Saída Tratada","Saída de Esgoto Tratado","Cuiabá",MT,"Esgoto Tratado","Sólidos Totais",155,mg/L,,150,"Referência didática",true,"Acima do limite máximo"
41,QA-2024-011,2024-02-16,"Rio Coxipó - Montante","Corpo Hídrico Montante","Cuiabá",MT,"Corpo Hídrico",pH,7.2,unidade,6,9,"Referência didática",true,Conforme
42,QA-2024-011,2024-02-16,"Rio Coxipó - Montante","Corpo Hídrico Montante","Cuiabá",MT,"Corpo Hídrico","Oxigênio Dissolvido",6,mg/L,5,,"Referência didática",true,Conforme
43,QA-2024-011,2024-02-16,"Rio Coxipó - Montante","Corpo Hídrico Montante","Cuiabá",MT,"Corpo Hídrico",DBO,6.2,mg/L,,10,"Referência didática",true,Conforme
44,QA-2024-011,2024-02-16,"Rio Coxipó - Montante","Corpo Hídrico Montante","Cuiabá",MT,"Corpo Hídrico","Coliformes Termotolerantes",500,NMP/100mL,,1000,"Referência didática",true,Conforme
45,QA-2024-012,2024-02-16,"Rio Coxipó - Jusante","Corpo Hídrico Jusante","Cuiabá",MT,"Corpo Hídrico",pH,6.8,unidade,6,9,"Referência didática",true,Conforme
46,QA-2024-012,2024-02-16,"Rio Coxipó - Jusante","Corpo Hídrico Jusante","Cuiabá",MT,"Corpo Hídrico","Oxigênio Dissolvido",4.3,mg/L,5,,"Referência didática",true,"Abaixo do limite mínimo"
47,QA-2024-012,2024-02-16,"Rio Coxipó - Jusante","Corpo Hídrico Jusante","Cuiabá",MT,"Corpo Hídrico",DBO,13.8,mg/L,,10,"Referência didática",true,"Acima do limite máximo"
48,QA-2024-012,2024-02-16,"Rio Coxipó - Jusante","Corpo Hídrico Jusante","Cuiabá",MT,"Corpo Hídrico","Coliformes Termotolerantes",1600,NMP/100mL,,1000,"Referência didática",true,"Acima do limite máximo"
49,QA-2024-013,2024-03-10,"ETA Norte - Captação","Captação de Água Bruta","Cuiabá",MT,"Água Bruta",pH,7.3,unidade,5,9,"Referência didática",true,Conforme
50,QA-2024-013,2024-03-10,"ETA Norte - Captação","Captação de Água Bruta","Cuiabá",MT,"Água Bruta",Turbidez,35,NTU,,100,"Referência didática",true,Conforme
51,QA-2024-013,2024-03-10,"ETA Norte - Captação","Captação de Água Bruta","Cuiabá",MT,"Água Bruta","Oxigênio Dissolvido",5.9,mg/L,4,,"Referência didática",true,Conforme
52,QA-2024-013,2024-03-10,"ETA Norte - Captação","Captação de Água Bruta","Cuiabá",MT,"Água Bruta",Condutividade,178,µS/cm,,,,false,"Sem limite de referência"
53,QA-2024-014,2024-03-10,"ETA Norte - Saída Tratada","Saída de Água Tratada","Cuiabá",MT,"Água Tratada",pH,7.5,unidade,6,9.5,"Referência didática",true,Conforme
54,QA-2024-014,2024-03-10,"ETA Norte - Saída Tratada","Saída de Água Tratada","Cuiabá",MT,"Água Tratada",Turbidez,0.9,NTU,,5,"Referência didática",true,Conforme
55,QA-2024-014,2024-03-10,"ETA Norte - Saída Tratada","Saída de Água Tratada","Cuiabá",MT,"Água Tratada","Coliformes Termotolerantes",0,NMP/100mL,,0,"Referência didática",true,Conforme
56,QA-2024-014,2024-03-10,"ETA Norte - Saída Tratada","Saída de Água Tratada","Cuiabá",MT,"Água Tratada","Cloro Residual Livre",1.3,mg/L,0.2,5,"Referência didática",true,Conforme
57,QA-2024-015,2024-03-14,"ETE Sul - Entrada","Entrada de Esgoto Bruto","Cuiabá",MT,"Esgoto Bruto",pH,7,unidade,,,,false,"Sem limite de referência"
58,QA-2024-015,2024-03-14,"ETE Sul - Entrada","Entrada de Esgoto Bruto","Cuiabá",MT,"Esgoto Bruto",DBO,340,mg/L,,,,false,"Sem limite de referência"
59,QA-2024-015,2024-03-14,"ETE Sul - Entrada","Entrada de Esgoto Bruto","Cuiabá",MT,"Esgoto Bruto",DQO,700,mg/L,,,,false,"Sem limite de referência"
60,QA-2024-015,2024-03-14,"ETE Sul - Entrada","Entrada de Esgoto Bruto","Cuiabá",MT,"Esgoto Bruto","Sólidos Totais",540,mg/L,,,,false,"Sem limite de referência"
61,QA-2024-016,2024-03-14,"ETE Sul - Saída Tratada","Saída de Esgoto Tratado","Cuiabá",MT,"Esgoto Tratado",pH,7.2,unidade,5,9,"Referência didática",true,Conforme
62,QA-2024-016,2024-03-14,"ETE Sul - Saída Tratada","Saída de Esgoto Tratado","Cuiabá",MT,"Esgoto Tratado",DBO,38,mg/L,,60,"Referência didática",true,Conforme
63,QA-2024-016,2024-03-14,"ETE Sul - Saída Tratada","Saída de Esgoto Tratado","Cuiabá",MT,"Esgoto Tratado",DQO,125,mg/L,,180,"Referência didática",true,Conforme
